"Verified Purchase (by Line)","Compras Verificadas (por Line)"
"Line ID","Line ID"
"Status","Estado"
"Mode","Modo"
"Verification Mode","Modo de Verificacion"
"Developer Debug","Log Desarrolladores"
"When enabled, a custom log will be created with relevant information for debugging. Please check: /var/log/line-verified-purchase.log","Al activar, se logueara informacion de desarrollo dentro de los logs de Adobe Commerce. Por favor revisar: /var/log/line-verified-purchase.log"
"Immediate Mode","Modo Inmediato"
"Long Term Mode","Modo Largo Plazo (en desarrollo)"
"Credit Card Summary Description","Descripcion del Consumo"
"Text that will appear on the cardholder's account summary (if immediate is enabled) when generating the consumption with the amount to be validated","Texto que aparecerá en el resumen de cuenta del titular de la tarjeta (si está habilitado el modo inmediato) al generar el consumo con el importe a validar"
"Line ID Verification","Verificacion Line ID"

"Time Unit","Unidad de Tiempo"
"Indicates time unit to represent code or amount expiration used for the verification process","Indica qué unidad de tiempo se usa para expresar la validez del código o monto código utilizado para la verificación."
"Time Amount","Canditad de Tiempo"
"Indicates the time amount available to verify the Order, expressed using the unit configured in the Time Unit field","Indica la cantidad de tiempo disponible para verificar la compra, expresado en la unidad de tiempo indicada en el campo Unidad de Tiempo"
"Max Tries","Cantidad de Intentos"
"Max tries that the Buyer has to verify the code or amount","La cantidad máxima de intentos que puede realizar el comprador para validar el código."

"Order Status Process Start","Estado de Orden al comenzar"
"Status to set the Order when a Verification Process is created and pending","Estado en el que se debe colocar la Orden, cuando se inicia el proceso de verificacion"
"Order Status Process Complete","Estado de Orden al completar"
"Status to set the Order when a Verification Process is completed","Estado en el que se debe colocar la Orden, cuando finaliza exitosamente el proceso de verificacion"
"Order Status Process Failed","Estado de Orden proceso fallido"
"Status to set the Order when a Verification Process failed (due to max tries or expiration)","Estado en el que se debe colocar la Orden, cuando finaliza con error el proceso de verificacion (sea porque el codigo de verificacion expiro o porque supero los intentos"

"Email Sender","Identidad del Remitente"
"Identity to be used for all email notifications","Identidad del remitente para utilizar en las notificaciones por email"
"Email Template Pending","Plantilla Proceso Comienzo"
"Email Template notifying the Buyer that has verification process","Plantilla de email que se utilizara cuando se genere un proceso de verificacion, notificando al comprador que debe de realizar el proceso"
"Email Template Completed","Plantilla Proceso Exitoso"
"Email Template to be sent as soon as the process is completed successfully","Plantilla de email para notificar al Comprador que el proceso finalizo exitosamente"
"Email Template Canceled","Plantilla Proceso Fallo"
"EEmail Template to be sent as soon as the process failed","Plantilla de email para notificar al Comprador que el proceso fallo, ya sea por haber alcanzado los intentos permitidos o porque el codigo expiro"

"Day","Dias"
"Hour","Horas"
"Minute","Minutos"

"<strong>Verified Purchase:</strong> You have a pending identity authentication process - <a href=""%1"">please finish the process</a>","<strong>Compras Verificadas:</strong> Tiene pendiente un proceso de autenticacion de identidad - <a href=""%1"">revisar ahora</a>"
"Your identity has been successfully verified by <strong>Line Verified Purchase</strong> - <a href=""%1"" target=""_blank"">Learn more...</a>","Tu identidad ha sido verificada exitosamente por el servicio de <strong>Line Compras Verificadas</strong> - <a href=""%1"" target=""_blank"">Conoce mas...</a>"
"Verified Purchase Service returned error while creating the authentication","El servicio de Compras Verificadas retorno error al generar la autenticacion"
"Verification Purchase process in progress","Validacion de Compra Verificada en proceso"
"Verified Purchase failed, please contact support for further assistance","El proceso de verificacion fallo, por favor contactese con soporte para recibir asistencia"
"You have reached the maximum amount of tries","Alcanzo el limite de intentos permitidos"

"Validation Process","Proceso de validacion"
"Introduce the validation code or contact us for assistance.","Introduzca el codigo de validacion o contactese con nuestro soporte tecnico."
"Authentication successfully completed","Autenticacion finalizada exitosamente"
"An unspecified error occurred. Please contact us for assistance.","Se produjo un error inesperado. Contactese con soporte tecnico."
"Process failed. Startover or contact us for assistance.","El proceso fallo. Intente nuevamente o contactese con soporte tecnico."
"Congratulations!","Felicitaciones!"
"You have completed the authorization process correctly","Completaste el proceso de autenticacion correctamente."
"Verified Buyers","Compras Verificadas"
"Line Verified Buyers (for Adobe Commerce)","Line Compras Verificadas (para Adobe Commerce)"
"Verified Buyers Verification Amount","Compras Verificadas Monto"
"Order Information","Informacion de la Compra"
"Order Number","Numero de Compra"
"Order Number %1","Numero de Compra %1"

"Max tries reached","Cantidad de intentos superados"
"Verification Process Incomplete","Proceso de Verificacion Incompleto"
"Go back to the validation form and try again...","Volver al formulario de validacion..."
"If you have any questions or need technical assistance, please reach out to support","Si tienes alguna pregunta o necesitas asistencia adicional, no dudes en ponerte en contacto con nuestro equipo de soporte al cliente"
"Either verification does not exists, its completed or unavailable","La verificacion a la cual intenta acceder, ya no se encuentra disponible."
"Verification Process","Proceso de Verificacion"
"No purchase id found for this verification","No se encontro un proceso de verificacion"

"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","Puede acceder a ver el estado de la Compra <a href=""%account_url"">inciando sesion en su cuenta</a>."
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","Si tiene alguna duda sobre su Compra, puede escribirnos a <a href=""mailto:%store_email"">%store_email</a>"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","o llamarnos al telefono <a href=""tel:%store_phone"">%store_phone</a>"

"Verification Purchase process finished successfully","El proceso de Compra Verificada finalizo exitosamente"
"Verification Purchase process failed","El proceso de Compra Verificada fallo"
"Verification Purchase process is pending","Proceso de Compra Verificada pendiente"

"Email Template Configuration","Configuracion de Plantillas de Email"
"Email Templates","Plantillas de Email"
"Configuration updated successfully.","Configuracion guardada exitosamente"
"Changes wont be reflected till you refresh Configuration Cache","Los cambios no se veran reflejados hasta que refresque el Cache"
